recno,RA,DEC,Name,z,n_z,nR,B-V,U-B,Vmag,n_Vmag,r_Vmag,n_RAh,Sp,r_Sp,Sp2,r_Sp2,FC,RA1950,DE1950
40,18.371249999999996,-28.372777777777774,QSO 0111-2838,4.042," ",*,,,19.75," ",0,O,Q,1952," G",1953,1952,17.777499999999996,-28.637499999999996
41,19.986666666666665,-37.62444444444444,Q 0117-378,2.25,*,*,,,20.0," ",0," ",Q,1843," ?",1044,1843,19.418749999999996,-37.88666666666666
42,20.734166666666663,2.9588888888888887,UM 100,3.272," ",*,,,18.0," ",0,O,Q,640," G",2438,1286,20.088749999999997,2.698055555555555
43,20.857916666666664,-37.70666666666666,Q 0121-3758,2.21,*,*,,,19.7,O,0,O,Q,599," *",1044,0,20.29333333333333,-37.96722222222222
44,21.362916666666663,-36.96833333333333,Q 0123-3713,2.13,*,*,,,19.7,O,0,O,Q,599," *",1044,0,20.797916666666666,-37.22805555555555
45,23.816249999999997,-42.05777777777777,Q 0133-4218,2.68,*,*,,,19.84,*,0," ",Q,1019," *",580,0,23.276249999999997,-42.31305555555555
46,23.844999999999995,-42.03916666666666,Q 0133-4217,2.58,*,*,,,20.25,*,0," ",Q,1019," *",580,0,23.304999999999996,-42.29444444444444
47,24.55083333333333,1.0644444444444443,UM 348,," ",*,,,17.0," ",0," ",BL,1785," *",2206,1283,23.90833333333333,0.8105555555555555
48,25.955,0.35749999999999993,SDSS J01438+0021,1.317," ",*,0.53,-0.74,18.28," ",3,O,,3," ?",1891,0,25.313749999999995,0.10666666666666666
49,28.457916666666662,1.8788888888888886,RXS J01538+0152,0.127," ",*,,,15.1,O,0,O,Q,1900," *",2222,0,27.81333333333333,1.633333333333333
50,41.74833333333333,-29.806111111111107,Q J02469-2948,," ",*,,-0.08,19.9,*,1261,O,BL,1261," *",1260,0,41.21375,-30.01472222222222
51,42.339999999999996,-8.165833333333332,SDSS J02493-0809,1.276," ",*,0.71,-0.93,19.98," ",1890,O,,1890," ?",1891,0,41.72624999999999,-8.372499999999999
52,43.60833333333333,-31.976111111111106,2QZ J025425-3158,," ",*,,-1.01,19.38,*,504,O,BL,504," *",1260,0,43.08749999999999,-32.17861111111111
53,43.70208333333333,-7.293055555555554,SDSS J02548-0717,2.937," ",*,0.78,0.22,19.09," ",1890,O,,1890," ?",1891,0,43.08624999999999,-7.495277777777777
54,43.80624999999999,-66.95027777777777,PKS 0254-671,2.23,*," ",,,18.5," ",0,O,Q,1835," *",2220,1835,43.62,-67.15166666666666
55,48.263749999999995,-6.266666666666666,SDSS J03130-0616,," ",*,0.14,-0.82,20.27," ",428,O,BL,428," *",1133,0,47.646249999999995,-6.453055555555554
56,48.64666666666666,-31.095555555555553,2QZ J031435-3105,," ",*,,-0.82,18.26,*,504,O,BL,504," *",1260,0,48.13208333333333,-31.28055555555555
57,49.373749999999994,-7.278888888888888,SDSS J03174-0716,," ",*,0.14,-0.69,20.05," ",428,O,BL,428," *",1133,0,48.76041666666666,-7.461388888888888
58,50.28458333333333,-7.00861111111111,SDSS J03211-0700,," ",*,0.13,-0.67,19.91," ",428,O,BL,428," *",1133,0,49.67041666666666,-7.187499999999999
59,51.11999999999999,-0.7705555555555554,SDSS J03244-0046,0.213," ",*,0.57,-0.69,19.31," ",3,O,S1,3," ?",1891,0,50.482499999999995,-0.9463888888888887
60,54.02791666666666,-0.13166666666666665,SDSSp J03361-0007,0.431," ",*,1.09,-0.14,20.37," ",1890,O,S2,2444," ?",1891,0,53.38791666666666,-0.29638888888888887
61,55.24958333333333,-44.23888888888888,QSF3:22,0.719," ",*,,,20.6," ",0,O,Q,268," *",1910,0,54.831666666666656,-44.398333333333326
62,63.03874999999999,-5.675277777777777,SDSS J04121-0540,," ",*,0.11,-0.77,19.24," ",428,O,BL,428," *",1133,0,62.42291666666666,-5.802777777777777
63,66.46374999999999,-8.560555555555554,MCG -01.12.005,0.039," "," ",,,15.9," ",0,O,BL,763," G",178,161,65.86166666666666,-8.673055555555555
64,137.66791666666666,-0.7072222222222221,SDSS J09106-0042,1.036," ",*,1.04,-0.01,21.08," ",1890,O,,1890," *",1891,0,137.02916666666664,-0.5025
65,143.13958333333332,55.60555555555555,SDSS J09325+5536,0.911," ",*,0.42,-0.79,20.24," ",1890,O,,1890," ?",1891,0,142.25166666666664,55.826944444444436
66,144.7470833333333,2.1566666666666663,SDSS J09389+0209,1.41," ",*,0.62,-0.73,19.96," ",1890,O,,1890," ?",1891,0,144.1,2.383055555555555
67,153.10875,0.6174999999999999,2QZ J101226+0037,0.686," ",*,,-0.9,20.32,*,502,O,S1,502," *",1133,0,152.46666666666664,0.8649999999999999
68,156.56416666666664,-0.10833333333333332,Q J10262-0006,," ",*,,-0.98,19.4,*,1261,O,BL,1261," *",1260,0,155.92333333333332,0.14638888888888887
69,156.75958333333332,0.5674999999999999,2QZ J102702+0034,," ",*,,-0.89,19.52,*,504,O,BL,504," *",1260,0,156.11749999999998,0.8224999999999999
70,158.1808333333333,-0.5452777777777778,SDSS J10327-0032,," ",*,0.01,-0.97,20.23," ",428,O,BL,428," *",1133,0,157.54083333333332,-0.2875
71,159.53833333333333,-0.606111111111111,SDSS J10381-0036,1.49," ",*,0.25,-0.31,17.09," ",3,O,,3," *",1133,0,158.8983333333333,-0.34583333333333327
72,160.39458333333332,0.6197222222222222,2QZ J104134+0037,," ",*,,-0.94,19.82,*,504,O,BL,504," *",1133,0,159.75249999999997,0.8813888888888888
73,160.62291666666664,1.5394444444444442,QNB1:46,0.716," ",*,,-0.96,21.1,*,268,O,Q,268," *",504,0,159.97958333333332,1.8013888888888887
74,161.33208333333332,0.43749999999999994,Q J10453+0026,," ",*,,-1.03,18.68,*,1261,O,BL,1261," *",1133,0,160.69041666666664,0.7005555555555555
75,161.82625,0.12166666666666665,SDSS J10473+0007,1.235," ",*,0.28,-0.47,17.59," ",3,O,,3," *",1133,0,161.18499999999997,0.3855555555555555
76,162.65749999999997,-1.2658333333333331,2QZ J105037-0115,," ",*,,-0.89,19.44,*,504,O,BL,504," *",1260,0,162.01833333333332,-1.0005555555555554
77,163.48,-0.9272222222222221,Q J10539-0055,," ",*,,-0.77,19.53,*,1261,O,BL,1261," *",1260,0,162.84041666666664,-0.6608333333333333
78,164.13375,-0.17833333333333332,2QZ J105632-0010,," ",*,,-0.82,18.58,*,504,O,BL,504," *",1133,0,163.4933333333333,0.08888888888888888
79,166.68541666666664,0.12138888888888888,Q J11067+0007,," ",*,,-1.11,19.86,*,1261,O,BL,1261," *",1260,0,166.04458333333332,0.3919444444444444
80,175.04375,-0.49361111111111106,Q J11401-0029,," ",*,,-1.02,19.9,*,1261,O,BL,1261," *",1133,0,174.4033333333333,-0.21638888888888885
81,176.33999999999997,-2.7991666666666664,SDSS J11453-0247,," ",*,0.13,-0.75,18.63," ",428,O,BL,1261," *",1260,0,175.70041666666665,-2.5213888888888887
82,181.49249999999998,-0.7044444444444443,Q J12059-0042,," ",*,,-0.47,19.11,*,1261,O,BL,1261," *",1260,0,180.85166666666663,-0.42611111111111105
83,182.00791666666663,-0.7055555555555555,Q J12080-0042,," ",*,,-1.01,18.96,*,1261,O,BL,1261," *",1260,0,181.3670833333333,-0.42722222222222217
84,183.1375,11.853055555555555,MC 1210+121,," "," ",,,18.0," ",0,O,BL,2474," *",1847,124,182.4995833333333,12.13111111111111
85,185.5270833333333,-1.1105555555555555,UM 493,," ",*,,,17.0," ",0,O,BL,2109," *",357,1284,184.88583333333332,-0.8333333333333333
86,185.90874999999997,-1.9386111111111108,Q J12236-0156,," ",*,,-1.16,19.22,*,1261,O,BL,1261," *",1260,0,185.26708333333332,-1.6616666666666664
87,190.14583333333331,-1.7499999999999998,2QZ J124034-0145,," ",*,,-0.76,19.47,*,504,O,BL,504," *",1260,0,189.50374999999997,-1.475833333333333
88,193.3408333333333,-7.281666666666665,Q 1250-0700,0.097," ",*,,,16.43," ",0,O,Q,769," *",2384,0,192.6920833333333,-7.0105555555555545
89,194.5720833333333,0.1197222222222222,UM 531,2.08,*,*,,,18.5,O,0,O,Q,1284," *",504,1284,193.93166666666664,0.38944444444444437
90,195.04124999999996,-2.433611111111111,Q J13001-0226,," ",*,,-0.66,19.22,*,1261,O,BL,1261," *",1133,0,194.39749999999998,-2.164444444444444
91,195.05999999999997,1.5941666666666665,2QZ J130014+0135,," ",*,,-1.11,20.17,*,504,O,BL,504," *",1133,0,194.42125,1.863333333333333
92,195.09666666666664,1.6474999999999997,2QZ J130023+0138,," ",*,,-0.82,20.01,*,504,O,BL,504," *",1133,0,194.45833333333331,1.9166666666666665
93,196.14499999999998,-19.545555555555552,PKS 1301-192,," "," ",,,18.0," ",0,O,BL,1048," *",2220,1641,195.47749999999996,-19.277777777777775
94,196.66416666666663,1.2277777777777776,2QZ J130639+0113,," ",*,,-0.67,19.33,*,504,O,BL,504," *",1133,0,196.02541666666664,1.4949999999999999
95,196.7895833333333,29.10194444444444,BG 57 11,3.05,*,*,,,20.1," ",0," ",Q,739," *",615,0,196.19291666666663,29.368888888888886
96,196.88541666666663,29.262777777777774,BG 57 15,2.86,*,*,,,20.8," ",0," ",Q,739," *",615,0,196.2895833333333,29.52944444444444
97,196.92708333333331,29.36805555555555,BG 57 17,3.32,*,*,1.63,1.03,19.16,*,1156,O,Q,739,,0,0,196.33124999999998,29.63472222222222
98,196.9970833333333,29.479722222222218,BG 57 20,2.25,*,*,1.4,0.82,18.54,*,1156,O,Q,739," G",258,0,196.40166666666664,29.746388888888884
99,197.01458333333332,29.505555555555553,BG 57 21,3.24,*,*,1.33,0.79,18.78,*,1156,O,Q,739,,0,0,196.41958333333332,29.77222222222222
100,197.0545833333333,29.344999999999995,BG 57 26,2.9,*,*,0.99,0.5,18.4,*,1156,O,Q,739,,0,0,196.45916666666665,29.611388888888886
101,197.05624999999998,29.548888888888886,CSO  823,2.95,*,*,0.81,-0.63,17.83,*,1156,O,Q,739," *",615,0,196.46124999999998,29.815277777777773
102,197.30291666666665,29.51694444444444,BG 57 42,2.82,*,*,,,17.6," ",0," ",Q,739,,0,0,196.70874999999998,29.783055555555553
103,197.3033333333333,29.338888888888885,BG 57 43,0.72,*,*,,,19.5," ",0," ",Q,739,,0,0,196.70874999999998,29.604999999999997
104,197.36291666666665,29.09361111111111,BG 57 45,2.42,*,*,,,21.5," ",0," ",Q,739,,0,0,196.76791666666665,29.359722222222217
105,197.4170833333333,29.226666666666663,AH 23,1.79,*,*,,-1.27,19.62,*,1155,O,Q,739," *",1154,1155,196.82249999999996,29.492499999999996
106,197.5058333333333,29.385277777777773,CSO  832,2.95,*,*,,,16.6," ",0," ",Q,739,,1817,0,196.91166666666663,29.651111111111106
107,198.34499999999997,46.324999999999996,Q 1311+4635,0.001," ",*,,,18.82,R,0," ",,1882,H2,0,1882,197.795,46.58944444444444
108,199.14624999999998,-0.4694444444444444,Q J13165-0028,," ",*,,-0.36,19.82,*,1261,O,BL,1261," *",1260,0,198.50499999999997,-0.20611111111111108
109,199.9795833333333,1.8827777777777774,UM 566,," ",*,,,18.0," ",0,O,?,2109," *",504,1284,199.3420833333333,2.1449999999999996
110,200.99916666666664,2.1855555555555553,UM 571,1.33,*,*,,,18.1," ",0,O,Q,1284," *",934,1284,200.36249999999998,2.445833333333333
111,201.18374999999997,-2.2961111111111108,SDSSp J13247-0217,2.264," ",*,2.16,-0.43,21.72," ",3,O,,860," ?",1891,0,200.53916666666663,-2.036111111111111
