,Unnamed: 0,RA,Dec,PlateID,MJD,FibreID,z,S_NVSS,Radio_class,S_FIRST,offset,AGN,Main_samp,LERG,HERG,log_L_NVSS,VLASS_tile
11052,11052,165.724785,12.98446,1751,53377,281,0.14045,0.08199999999999999,4,0.0054,0.66,1,1,1,0,24.111052178849945,T14t17
11058,11058,166.71314999999996,14.20346,1751,53377,498,0.04509,0.1572,4,0.063,0.34,1,0,1,0,23.699257577752785,T14t17
11059,11059,167.26396499999996,14.152970000000002,1751,53377,557,0.34593,0.0078,4,0.0,-1.0,1,0,0,0,23.30964184410491,T14t17
11061,11061,168.99758999999997,13.8898,1752,53379,109,0.16638,0.0254,4,0.0037,0.52,1,1,1,0,23.673490273529293,T14t17
11074,11074,170.22311999999997,14.31379,1753,53383,224,0.34163000000000004,0.0993,4,0.0,-1.0,1,0,1,0,24.41460095924177,T14t18
11092,11092,172.98376499999995,15.890999999999998,1754,53385,526,0.18538,0.0894,4,0.0139,0.37,1,1,0,1,24.259364694343372,T14t18
11139,11139,132.81767250000001,8.456439999999999,1760,53086,2,0.06354,0.159,4,0.0,-1.0,1,1,1,0,23.943739942716945,T13t14
11140,11140,132.771972,8.85187,1760,53086,102,0.12711,0.047,4,0.0107,0.79,1,1,1,0,23.82221736189581,T13t14
11154,11154,177.29444999999996,15.323529999999998,1761,53376,582,0.11554,0.08900000000000001,4,0.0136,1.25,1,1,1,0,24.051270055435428,T14t18
14993,14993,120.25562999999998,13.83116,2266,53679,124,0.10872,0.361,4,0.0074,1.15,1,1,1,0,24.627119737248197,T14t13
15016,15016,121.33042949999998,14.17499,2268,53682,429,0.35226,0.0214,4,0.0019,0.81,1,0,1,0,23.747620182682443,T14t13
15056,15056,126.00116699999998,15.57964,2272,53713,551,0.09303,0.239,4,0.0422,0.61,1,1,1,0,24.36041255596458,T14t13
15083,15083,127.408302,15.850320000000002,2274,53726,554,0.02188,0.0095,4,0.0,-1.0,0,1,0,0,21.927254676823445,T14t13
15106,15106,127.40582249999996,15.85308,2276,53712,318,0.17051,0.0095,4,0.0,-1.0,1,1,1,0,23.25575268751738,T14t13
15724,15724,120.90699749999996,10.84514,2419,54139,419,0.14234000000000002,0.117,4,0.0,-1.0,1,1,1,0,24.271462457148147,T13t13
15734,15734,123.68287649999996,12.97148,2420,54086,522,0.17614000000000002,1.5219999999999998,4,0.5306,2.09,1,1,1,0,25.472464108015217,T14t13
15737,15737,123.44199299999997,9.60642,2421,54153,172,0.17334000000000002,0.0104,4,0.0,-1.0,1,1,1,0,23.301210557254628,T13t13
15740,15740,121.91118600000001,9.34431,2421,54153,285,0.2858,0.0112,4,0.0,-1.0,1,0,1,0,23.45719602488443,T13t13
15748,15748,126.26940900000001,12.73467,2422,54096,67,0.3216,0.388,4,0.0,-1.0,1,0,0,1,25.00551150235277,T14t13
15782,15782,126.4842,13.66484,2425,54139,276,0.24389,0.0137,4,0.0031,0.46,1,1,1,0,23.51976118929568,T14t13
15795,15795,128.01208499999998,12.70594,2426,53795,353,0.40779,0.0302,4,0.0032,0.3,1,0,0,0,23.88598537280564,T14t13
15819,15819,131.19435149999998,11.9154,2428,53801,139,0.24451,0.1479,4,0.059,0.35,1,1,1,0,24.553520980791003,T13t14
15858,15858,133.16824350000002,14.64015,2431,53818,208,0.10779,0.0096,4,0.0017,1.87,1,1,1,0,23.047236713585416,T14t14
15878,15878,135.52337699999998,12.74018,2433,53820,25,0.44534,0.0294,4,0.0072,0.13,1,0,0,1,23.859974215964858,T14t14
16623,16623,121.2001875,8.215019999999999,2570,54081,432,0.23255,0.0221,4,0.0045,0.68,1,1,1,0,23.71717726750529,T13t13
16675,16675,140.2561185,11.49595,2577,54086,54,0.16011,0.0535,4,0.0149,0.84,1,1,1,0,23.98182098911817,T13t15
16682,16682,140.2906185,12.9899,2577,54086,552,0.18252,0.069,4,0.0185,0.99,1,1,1,0,24.141533151734357,T14t15
16688,16688,142.97204549999995,12.86127,2578,54093,632,0.27247,0.087,4,0.0,-1.0,1,1,1,0,24.341529756093674,T14t15
16750,16750,148.94624399999995,14.93005,2584,54153,469,0.34056,0.059,4,0.003,2.2,1,0,0,0,24.188513298900475,T14t15
16822,16822,155.486145,14.7254,2590,54175,234,0.11108,0.412,4,0.0,-1.0,1,1,0,1,24.69602890223016,T14t16
