,RA,DEC
6,162.33807373,-0.668059408665
18,167.389068604,-0.601429641247
107,0.417553782463,1.09196579456
191,132.387832642,1.7280052900299998
299,164.811019897,5.29202747345
372,17.2187194824,-0.6553810834880001
400,170.121826172,4.12837600708
460,139.45220947299998,7.525192260739999
777,176.34243774400002,15.4953451157
986,208.63735961900002,28.2433853149
